ADWD,1,2,0,1,0,4,13,37,54,51,30
ADWD,2,0,1,0,0,1,6,42,54,32,16
ADWD,3,2,0,1,2,11,27,42,31,14,16
ADWD,4,5,0,1,0,0,4,23,45,44,22
ADWD,5,1,0,1,2,2,6,27,38,45,20
ADWD,6,1,0,0,0,7,17,38,35,15,12
ADWD,7,2,0,0,4,5,36,43,21,11,10
ADWD,8,5,0,1,1,0,0,7,13,44,101
ADWD,9,0,1,0,2,3,9,37,37,11,12
ADWD,10,0,0,0,0,2,6,26,37,31,19
ADWD,11,1,3,2,1,0,4,14,51,29,13
ADWD,12,1,0,1,1,7,18,27,30,18,12
ADWD,13,3,1,0,1,0,3,8,36,46,17
ADWD,14,4,1,1,2,2,3,6,13,25,82
ADWD,15,2,0,1,2,3,8,28,34,12,13
ADWD,16,0,0,1,2,4,12,18,40,13,12
ADWD,17,2,0,0,3,5,11,33,25,8,16
ADWD,18,5,1,0,0,1,3,15,32,30,18
ADWD,19,3,0,3,1,3,6,17,40,26,21
ADWD,20,0,1,0,0,3,2,5,30,51,21
ADWD,21,2,0,0,0,0,3,4,43,36,14
ADWD,22,3,0,0,1,0,8,30,28,14,7
ADWD,23,3,0,0,0,2,3,21,40,18,7
ADWD,24,3,1,2,1,14,29,27,13,1,7
ADWD,25,1,0,0,0,0,5,12,29,29,18
ADWD,26,2,0,1,0,6,15,20,21,11,9
ADWD,27,3,0,0,0,2,2,1,23,51,23
ADWD,28,1,0,1,0,1,4,18,27,28,20
ADWD,29,1,1,0,0,3,1,10,31,31,19
ADWD,30,2,0,2,0,0,2,2,10,31,95
ADWD,31,2,2,2,2,15,18,32,15,5,8
ADWD,32,0,0,1,0,0,1,13,21,43,38
ADWD,33,4,0,0,2,1,0,7,34,48,19
ADWD,34,3,0,0,1,3,12,26,38,11,14
ADWD,35,3,0,0,0,1,0,4,19,28,64
ADWD,36,3,0,0,2,3,8,30,30,15,7
ADWD,37,6,4,4,13,14,24,21,18,2,9
ADWD,38,1,2,1,1,1,2,8,30,38,28
ADWD,39,2,0,0,3,1,6,5,32,32,26
ADWD,40,1,0,0,0,4,4,18,30,20,9
ADWD,41,2,1,1,0,10,15,25,26,9,5
ADWD,42,0,1,1,0,0,2,10,38,29,19
ADWD,43,1,1,0,0,4,7,35,25,18,5
ADWD,44,8,1,0,3,7,20,18,23,5,8
ADWD,45,1,0,1,1,3,1,13,34,25,11
ADWD,46,5,0,0,0,2,1,10,22,33,52
ADWD,47,0,2,1,0,0,1,5,21,44,42
ADWD,48,2,0,1,0,3,3,17,35,27,11
ADWD,49,1,1,0,0,1,1,12,22,43,28
ADWD,50,2,1,0,0,1,3,19,27,19,12
ADWD,51,5,1,1,2,5,25,20,19,7,10
ADWD,52,0,0,1,0,0,1,5,12,43,64
ADWD,53,2,0,0,0,0,0,5,15,36,68
ADWD,54,0,1,0,0,1,8,14,25,26,17
ADWD,55,1,0,0,0,2,6,26,35,17,10
ADWD,56,0,0,0,1,3,6,20,39,16,11
ADWD,57,1,1,0,3,2,7,27,26,12,16
ADWD,58,2,0,1,0,2,4,18,29,30,12
ADWD,59,1,0,0,0,1,3,17,30,27,14
ADWD,60,1,0,1,0,1,7,19,39,12,11
ADWD,61,3,2,0,1,6,19,28,17,10,12
ADWD,62,1,0,0,0,0,7,11,25,40,15
ADWD,63,1,0,1,0,0,3,10,39,40,19
ADWD,64,1,1,0,0,0,6,23,27,29,22
ADWD,65,4,2,0,0,2,4,4,27,40,45
ADWD,66,0,0,0,1,1,5,15,25,44,34
ADWD,67,1,0,1,0,3,7,25,37,16,12
ADWD,68,2,0,0,0,1,0,8,12,38,64
ADWD,69,4,1,0,0,0,7,10,39,30,28
ADWD,70,20,0,1,2,4,5,16,31,29,55
ADWD,71,3,0,0,0,1,5,19,34,25,20
ADWD,72,5,1,2,4,5,9,24,26,28,21
ADWD,73,1,1,0,0,1,0,1,21,35,72
